20000103,997.2,997.2,997.2,997.2,0
20000104,970.67,970.67,970.67,970.67,0
20000105,962.13,962.13,962.13,962.13,0
20000106,953.47,953.47,953.47,953.47,0
20000107,944.03,944.03,944.03,944.03,0
20000110,951.21,951.21,951.21,951.21,0
20000111,974.23,974.23,974.23,974.23,0
20000112,979.59,979.59,979.59,979.59,0
20000113,977.14,977.14,977.14,977.14,0
20000114,996.68,996.68,996.68,996.68,0
20000117,999.67,999.67,999.67,999.67,0
20000118,1020.36,1020.36,1020.36,1020.36,0
20000119,1017.91,1017.91,1017.91,1017.91,0
20000120,1015.78,1015.78,1015.78,1015.78,0
20000121,1014.96,1014.96,1014.96,1014.96,0
20000124,1011.01,1011.01,1011.01,1011.01,0
20000125,1011.11,1011.11,1011.11,1011.11,0
20000126,1001.1,1001.1,1001.1,1001.1,0
20000127,1012.01,1012.01,1012.01,1012.01,0
20000128,1015.15,1015.15,1015.15,1015.15,0
20000131,1019.71,1019.71,1019.71,1019.71,0
20000201,1012.47,1012.47,1012.47,1012.47,0
20000202,999.51,999.51,999.51,999.51,0
20000203,973.93,973.93,973.93,973.93,0
20000204,991.07,991.07,991.07,991.07,0
20000207,1004.25,1004.25,1004.25,1004.25,0
20000208,989.19,989.19,989.19,989.19,0
20000209,992.55,992.55,992.55,992.55,0
20000210,1009.12,1009.12,1009.12,1009.12,0
20000211,1002.36,1002.36,1002.36,1002.36,0
20000214,1006.57,1006.57,1006.57,1006.57,0
20000215,1002.04,1002.04,1002.04,1002.04,0
20000216,1004.55,1004.55,1004.55,1004.55,0
20000217,1007.86,1007.86,1007.86,1007.86,0
20000218,1010.99,1010.99,1010.99,1010.99,0
20000221,1006.74,1006.74,1006.74,1006.74,0
20000222,979.06,979.06,979.06,979.06,0
20000223,987.87,987.87,987.87,987.87,0
20000224,988.56,988.56,988.56,988.56,0
20000225,989.35,989.35,989.35,989.35,0
20000228,983.12,983.12,983.12,983.12,0
20000229,995.21,995.21,995.21,995.21,0
20000301,987.45,987.45,987.45,987.45,0
20000302,993.87,993.87,993.87,993.87,0
20000303,997.34,997.34,997.34,997.34,0
20000306,1002.53,1002.53,1002.53,1002.53,0
20000307,1008.14,1008.14,1008.14,1008.14,0
20000308,986.97,986.97,986.97,986.97,0
20000309,978.98,978.98,978.98,978.98,0
20000310,979.76,979.76,979.76,979.76,0
20000313,968.79,968.79,968.79,968.79,0
